Source,Target,Type,Id,Label,timeset,Weight,mmnt-edgetype
T1134,T1555,Undirected,3121,technique-technique,,1,technique<--->technique
T1134,T1555.003,Undirected,3122,technique-technique,,1,technique<--->technique
T1134,T1074.002,Undirected,3123,technique-technique,,1,technique<--->technique
T1134,T1213,Undirected,3124,technique-technique,,1,technique<--->technique
T1134,T1005,Undirected,3125,technique-technique,,1,technique<--->technique
T1134,T1573.002,Undirected,3126,technique-technique,,1,technique<--->technique
T1134,T1546.003,Undirected,3127,technique-technique,,1,technique<--->technique
T1134,T1048.003,Undirected,3128,technique-technique,,1,technique<--->technique
T1134,T1190,Undirected,3129,technique-technique,,1,technique<--->technique
T1134,T1068,Undirected,3130,technique-technique,,1,technique<--->technique
T1134,T1574.012,Undirected,3131,technique-technique,,1,technique<--->technique
T1134,T1562.001,Undirected,3132,technique-technique,,1,technique<--->technique
T1134,T1070.004,Undirected,3133,technique-technique,,1,technique<--->technique
T1134,T1036.004,Undirected,3134,technique-technique,,1,technique<--->technique
T1134,T1036.005,Undirected,3135,technique-technique,,1,technique<--->technique
T1134,T1112,Undirected,3136,technique-technique,,1,technique<--->technique
T1134,T1046,Undirected,3137,technique-technique,,1,technique<--->technique
T1134,T1095,Undirected,3138,technique-technique,,1,technique<--->technique
T1134,T1003.001,Undirected,3139,technique-technique,,2,technique<--->technique
T1134,T1003.003,Undirected,3140,technique-technique,,1,technique<--->technique
T1134,T1027,Undirected,3141,technique-technique,,2,technique<--->technique
T1134,T1588.002,Undirected,3142,technique-technique,,2,technique<--->technique
T1134,T1566.001,Undirected,3143,technique-technique,,1,technique<--->technique
T1134,T1566.003,Undirected,3144,technique-technique,,1,technique<--->technique
T1134,T1572,Undirected,3145,technique-technique,,1,technique<--->technique
T1134,T1090,Undirected,3146,technique-technique,,1,technique<--->technique
T1134,T1021.001,Undirected,3147,technique-technique,,2,technique<--->technique
T1134,T1021.002,Undirected,3148,technique-technique,,1,technique<--->technique
T1134,T1018,Undirected,3149,technique-technique,,1,technique<--->technique
T1134,T1496,Undirected,3150,technique-technique,,1,technique<--->technique
T1134,T1053.005,Undirected,3151,technique-technique,,2,technique<--->technique
T1134,T1553.002,Undirected,3152,technique-technique,,1,technique<--->technique
T1134,T1218.010,Undirected,3153,technique-technique,,1,technique<--->technique
T1134,T1218.011,Undirected,3154,technique-technique,,1,technique<--->technique
T1134,T1082,Undirected,3155,technique-technique,,1,technique<--->technique
T1134,T1569.002,Undirected,3156,technique-technique,,2,technique<--->technique
T1134,T1204.002,Undirected,3157,technique-technique,,1,technique<--->technique
T1134,T1078,Undirected,3158,technique-technique,,1,technique<--->technique
T1134,T1102,Undirected,3159,technique-technique,,1,technique<--->technique
